Timestamp,People_Count,Active_IDs
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:56,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:57,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
23:08:58,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13]"
23:08:58,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15]"
23:08:58,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15]"
23:08:58,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13]"
23:08:58,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13]"
23:08:58,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 19]"
23:08:58,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 20]"
23:08:58,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 20, 21]"
23:08:58,12,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 20, 21]"
23:08:58,11,"[1, 2, 3, 4, 5, 6, 8, 10, 13, 20, 21]"
23:08:58,11,"[1, 2, 3, 4, 5, 6, 8, 10, 13, 20, 21]"
23:08:58,11,"[1, 2, 3, 4, 6, 8, 10, 13, 20, 21, 23]"
23:08:58,11,"[1, 2, 3, 4, 6, 8, 10, 13, 20, 21, 23]"
23:08:58,11,"[1, 2, 3, 4, 6, 8, 10, 13, 20, 21, 23]"
23:08:58,11,"[1, 2, 3, 4, 6, 8, 10, 13, 20, 21, 23]"
23:08:58,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:58,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:58,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:58,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,10,"[1, 2, 3, 4, 6, 8, 10, 13, 21, 23]"
23:08:59,11,"[1, 2, 3, 4, 37, 6, 8, 10, 13, 21, 23]"
